DVN US Equity,DEVON ENERGY CORPORATION,73.06,8860707
DYN US Equity,DYNEGY INC,31,1449131
EAT US Equity,BRINKER INTERNATIONAL INC,49.08,561762
ECL US Equity,ECOLAB INC,105.11,813722
ED US Equity,CONSOLIDATED EDISON INC,57.8,1909446
EDU US Equity,NEW ORIENTAL EDUCATIO-SP ADR,22.88,2311591
EEP US Equity,ENBRIDGE ENERGY PARTNERS LP,29.97,587882
EEQ US Equity,ENBRIDGE ENERGY MANAGEMENT L,29.74,98282
EFX US Equity,EQUIFAX INC,71.07,459373
EGN US Equity,ENERGEN CORP,82.42,1264633
EGP US Equity,EASTGROUP PROPERTIES INC,62.55,237604
EIX US Equity,EDISON INTERNATIONAL,57.1,2626746
EL US Equity,ESTEE LAUDER COMPANIES-CL A,73.69,2356150
ELS US Equity,EQUITY LIFESTYLE PROPERTIES,43.18,326907
EMC US Equity,EMC CORP/MA,25.28,17121529
EME US Equity,EMCOR GROUP INC,45.34,263108
EMES US Equity,EMERGE ENERGY SERVICES LP,82.74,311277
EMN US Equity,EASTMAN CHEMICAL CO,86.41,798119
EMR US Equity,EMERSON ELECTRIC CO,67.2,2181227
ENBL US Equity,ENABLE MIDSTREAM PARTNERS LP,24.56,134994
ENH US Equity,ENDURANCE SPECIALTY HOLDINGS,52.72,640152
ENLC US Equity,ENLINK MIDSTREAM LLC,36.09,169969
ENLK US Equity,ENLINK MIDSTREAM PARTNERS LP,29.77,226117
ENR US Equity,ENERGIZER HOLDINGS INC,116.05,543668
ENS US Equity,ENERSYS,65.53,431042
EOG US Equity,EOG RESOURCES INC,104.79,5705837
EPB US Equity,EL PASO PIPELINE PARTNERS LP,33.84,506387
EPD US Equity,ENTERPRISE PRODUCTS PARTNERS,74.41,1258466
EPE US Equity,EP ENERGY CORP-CL A,19.76,381856
EPR US Equity,EPR PROPERTIES,53.71,265293
EQM US Equity,EQT MIDSTREAM PARTNERS LP,75.89,260995
EQR US Equity,EQUITY RESIDENTIAL,61.54,1575428
EQT US Equity,EQT CORP,108.73,1113472
EQY US Equity,EQUITY ONE INC,22.72,380844
ESL US Equity,ESTERLINE TECHNOLOGIES CORP,109.4,176725
ESS US Equity,ESSEX PROPERTY TRUST INC,179.61,417427
ESV US Equity,ENSCO PLC-CL A,51.5,1794537
ETE US Equity,ENERGY TRANSFER EQUITY LP,49.43,3005543
ETN US Equity,EATON CORP PLC,72.5,2355785
ETP US Equity,ENERGY TRANSFER PARTNERS LP,58.17,2121735
ETR US Equity,ENTERGY CORP,75.16,2693749
EV US Equity,EATON VANCE CORP,36.32,637368
EVER US Equity,EVERBANK FINANCIAL CORP,18.81,1143920
EVHC US Equity,ENVISION HEALTHCARE HOLDINGS,34.41,413044
EVR US Equity,EVERCORE PARTNERS INC-CL A,55.38,422640
EW US Equity,EDWARDS LIFESCIENCES CORP,83.76,832853
EXC US Equity,EXELON CORP,36.76,7082684
EXG US Equity,EATON VANCE TAX-MANAGED GLOB,10.23,769091
EXH US Equity,EXTERRAN HOLDINGS INC,44.44,2263389
EXP US Equity,EAGLE MATERIALS INC,82.5,702823
EXR US Equity,EXTRA SPACE STORAGE INC,51.97,598903
F US Equity,FORD MOTOR CO,15.46,32181828
FAF US Equity,FIRST AMERICAN FINANCIAL,27.22,495029
FBHS US Equity,FORTUNE BRANDS HOME & SECURI,38.96,2011339
FCE/A US Equity,FOREST CITY ENTERPRISES-CL A,19.18,524018
FCX US Equity,FREEPORT-MCMORAN COPPER,33.99,7314908
FDO US Equity,FAMILY DOLLAR STORES,57.19,636448
FDS US Equity,FACTSET RESEARCH SYSTEMS INC,105.51,205684
FDX US Equity,FEDEX CORP,138.54,1874280
FE US Equity,FIRSTENERGY CORP,33.89,7912491
FET US Equity,FORUM ENERGY TECHNOLOGIES IN,31.9,776383
FGP US Equity,FERRELLGAS PARTNERS-LP,25.43,93605
FHN US Equity,FIRST HORIZON NATIONAL CORP,11.34,1120396
FI US Equity,FRANK'S INTERNATIONAL NV,24.49,442721
FIG US Equity,FORTRESS INVESTMENT GRP-CL A,6.97,3069348
FII US Equity,FEDERATED INVESTORS INC-CL B,27.92,556891
FIS US Equity,FIDELITY NATIONAL INFORMATIO,53.72,1289168
FL US Equity,FOOT LOCKER INC,46.75,682884
FLO US Equity,FLOWERS FOODS INC,20.93,431248
FLR US Equity,FLUOR CORP,75.49,1275163
FLS US Equity,FLOWSERVE CORP,75.45,821882
FLT US Equity,FLEETCOR TECHNOLOGIES INC,120.12,499056
FMC US Equity,FMC CORP,73.29,3486251
FNB US Equity,FNB CORP,12.15,1112463
FNF US Equity,FIDELITY NATIONAL FINL-A,34.11,1701412
FR US Equity,FIRST INDUSTRIAL REALTY TR,18.18,761088
FRC US Equity,FIRST REPUBLIC BANK/CA,50.87,1144953
FRT US Equity,FEDERAL REALTY INVS TRUST,119.71,383694
FRX US Equity,FOREST LABORATORIES INC,91.56,2657294
FSIC US Equity,FS INVESTMENT CORP,10.14,1632576
FSL US Equity,FREESCALE SEMICONDUCTOR LTD,21.47,2210504
FTI US Equity,FMC TECHNOLOGIES INC,56.59,1390127
FUL US Equity,H.B. FULLER CO.,47.48,328113
FUN US Equity,CEDAR FAIR LP,51.98,262933
G US Equity,GENPACT LTD,16.47,664510
GA US Equity,GIANT INTERACTIVE GROUP-ADR,11.73,922403
GAS US Equity,AGL RESOURCES INC,53.99,499511
GCI US Equity,GANNETT CO,27.08,3184858
GD US Equity,GENERAL DYNAMICS CORP,111.96,2503673
GE US Equity,GENERAL ELECTRIC CO,26.53,24322399
GEF US Equity,GREIF INC-CL A,54.77,189523
GEL US Equity,GENESIS ENERGY L.P.,56,193790
GEO US Equity,GEO GROUP INC/THE,34.4,672452
GES US Equity,GUESS? INC,27.23,562507
GGG US Equity,GRACO INC,73.41,172039
GGP US Equity,GENERAL GROWTH PROPERTIES,23.41,3489653
GHC US Equity,GRAHAM HOLDINGS CO-CLASS B,676.6,21273
GIS US Equity,GENERAL MILLS INC,53.54,2637711
GLOG US Equity,GASLOG LTD,27.42,1350830
GLW US Equity,CORNING INC,20.88,9051881
GM US Equity,GENERAL MOTORS CO,35.07,9271172
GME US Equity,GAMESTOP CORP-CLASS A,35.84,5540612
GMED US Equity,GLOBUS MEDICAL INC - A,23.91,384824
GMT US Equity,GATX CORP,64.02,431997
GNC US Equity,GNC HOLDINGS INC-CL A,37.75,15736202
GNRC US Equity,GENERAC HOLDINGS INC,53.53,1269304
GNW US Equity,GENWORTH FINANCIAL INC-CL A,18.21,9902235
GPC US Equity,GENUINE PARTS CO,84.76,717673
GPK US Equity,GRAPHIC PACKAGING HOLDING CO,10.57,4929333
GPN US Equity,GLOBAL PAYMENTS INC,67.62,657029
GPS US Equity,GAP INC/THE,38.79,5178382
GRA US Equity,WR GRACE & CO,92.89,672785
GRUB US Equity,GRUBHUB INC,30.69,900429
GS US Equity,GOLDMAN SACHS GROUP INC,155.52,3261095
GWR US Equity,GENESEE & WYOMING INC-CL A,94.94,169139
GWRE US Equity,GUIDEWIRE SOFTWARE INC,37.06,1166122
GWW US Equity,WW GRAINGER INC,252.3,327293
GXP US Equity,GREAT PLAINS ENERGY INC,27.22,1229349
H US Equity,HYATT HOTELS CORP - CL A,57.58,523829
HAL US Equity,HALLIBURTON CO,64.74,6633300
HAR US Equity,HARMAN INTERNATIONAL,105.49,971713
HBI US Equity,HANESBRANDS INC,81.35,876065
HCA US Equity,HCA HOLDINGS INC,51.54,2652895
HCC US Equity,HCC INSURANCE HOLDINGS INC,46.7,324821
HCN US Equity,HEALTH CARE REIT INC,63.63,2125130
HCP US Equity,HCP INC,42.46,2520855
HD US Equity,HOME DEPOT INC,77.08,5378709
HE US Equity,HAWAIIAN ELECTRIC INDS,23.85,1426246
HEI US Equity,HEICO CORP,54.83,262525
HEP US Equity,HOLLY ENERGY PARTNERS LP,34.46,58625
HES US Equity,HESS CORP,88.93,1763709
HFC US Equity,HOLLYFRONTIER CORP,51.91,3079851
HHC US Equity,HOWARD HUGHES CORP/THE,148.57,142454
HIG US Equity,HARTFORD FINANCIAL SVCS GRP,35.33,3614558
HII US Equity,HUNTINGTON INGALLS INDUSTRIE,103.75,244313
HIW US Equity,HIGHWOODS PROPERTIES INC,40.69,528905
HK US Equity,HALCON RESOURCES CORP,5.29,8810771
HLF US Equity,HERBALIFE LTD,61.88,2961354
HLS US Equity,HEALTHSOUTH CORP,33.58,626810
HLT US Equity,HILTON WORLDWIDE HOLDINGS IN,22.66,2130114
HLX US Equity,HELIX ENERGY SOLUTIONS GROUP,23.57,746986
HME US Equity,HOME PROPERTIES INC,62.96,252603
HNT US Equity,HEALTH NET INC,37.41,3249029
HOG US Equity,HARLEY-DAVIDSON INC,72.44,1347246
HON US Equity,HONEYWELL INTERNATIONAL INC,92.92,2523724
HOT US Equity,STARWOOD HOTELS & RESORTS,78.52,2334135
HP US Equity,HELMERICH & PAYNE,109.68,1537731
HPQ US Equity,HEWLETT-PACKARD CO,32.32,8460687
HPT US Equity,HOSPITALITY PROPERTIES TRUST,30.69,729669
HR US Equity,HEALTHCARE REALTY TRUST INC,25.22,548015
HRB US Equity,H&R BLOCK INC,27.71,4664618
HRC US Equity,HILL-ROM HOLDINGS INC,38.33,468412
HRL US Equity,HORMEL FOODS CORP,48.17,639610
HRS US Equity,HARRIS CORP,74.87,905931
HSC US Equity,HARSCO CORP,24.89,778434
HSH US Equity,HILLSHIRE BRANDS CO/THE,36.97,972802
HSP US Equity,HOSPIRA INC,47.72,1966895
HST US Equity,HOST HOTELS & RESORTS INC,21.38,6670526
HSY US Equity,HERSHEY CO/THE,96.9,1215085
HTA US Equity,HEALTHCARE TRUST OF AME-CL A,12.1,3174915
HTZ US Equity,HERTZ GLOBAL HOLDINGS INC,28.75,7506497
HUB/B US Equity,HUBBELL INC -CL B,118.46,139591
HUM US Equity,HUMANA INC,119.05,4073248
HUN US Equity,HUNTSMAN CORP,25.47,2928756
HXL US Equity,HEXCEL CORP,42.02,664440
I US Equity,INTELSAT SA,19.58,250420
